gene_id	gene_description	pathway	module	subheader	topic_ecosystem
GH13	GH13 alpha-amylase (EC:3.2.1.1); pullulanase (EC:3.2.1.41); cyclomaltodextrin glucanotransferase (EC:2.4.1.19); cyclomaltodextrinase (EC:3.2.1.54); trehalose-6-phosphate hydrolase (EC:3.2.1.93); oligo-alpha-glucosidase (EC:3.2.1.10); maltogenic amylase (EC:3.2.1.133); neopullulanase (EC:3.2.1.135); alpha-glucosidase (EC:3.2.1.20); maltotetraose-forming alpha-amylase (EC:3.2.1.60); isoamylase (EC:3.2.1.68); glucodextranase (EC:3.2.1.70); maltohexaose-forming alpha-amylase (EC:3.2.1.98); maltotriose-forming alpha-amylase (EC:3.2.1.116); branching enzyme (EC:2.4.1.18); trehalose synthase (EC:5.4.99.16); 4-alpha-glucanotransferase (EC:2.4.1.25); maltopentaose-forming alpha-amylase (EC:3.2.1.-) ; amylosucrase (EC:2.4.1.4) ; sucrose phosphorylase (EC:2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC:3.2.1.141); isomaltulose synthase (EC:5.4.99.11); malto-oligosyltrehalose synthase (EC:5.4.99.15); amylo-alpha-1,6-glucosidase (EC:3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC:2.4.99.16); 6'-P-sucrose phosphorylase (EC:2.4.1.-); amino acid transporter	Glycoside Hydrolases	Carbon Processing	Resistant starch degradation	gut
CBM20			Carbon Processing	Resistant starch degradation	gut
CBM26			Carbon Processing	Resistant starch degradation	gut
GH57	GH57 alpha-amylase (EC:3.2.1.1); alpha-galactosidase (EC:3.2.1.22); amylopullulanase (EC:3.2.1.41); cyclomaltodextrinase (EC:3.2.1.54); branching enzyme (EC:2.4.1.18); 4-alpha-glucanotransferase (EC:2.4.1.25)	Glycoside Hydrolases	Carbon Processing	Resistant starch degradation	gut
GH77			Carbon Processing	Resistant starch degradation	gut
K00163	pyruvate dehydrogenase E1 component [EC:1.2.4.1]		Fermentation	SCFA production	gut
K00161	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]		Fermentation	SCFA production	gut
K00162	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]		Fermentation	SCFA production	gut
K01568	pyruvate decarboxylase [EC:4.1.1.1]		Fermentation	SCFA production	gut
K00627	pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]		Fermentation	SCFA production	gut
K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]		Fermentation	SCFA production	gut
K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]		Fermentation	SCFA production	gut
K00169	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]		Fermentation	SCFA production	gut
K00170	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]		Fermentation	SCFA production	gut
K00172	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]		Fermentation	SCFA production	gut
K00189	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]		Fermentation	SCFA production	gut
K00171	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]		Fermentation	SCFA production	gut
K03737	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.8.1]		Fermentation	SCFA production	gut
K01905	acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]		Fermentation	SCFA production	gut
K22224	acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]		Fermentation	SCFA production	gut
K24012	acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]		Fermentation	SCFA production	gut
K00138	aldehyde dehydrogenase [EC:1.2.1.-]		Fermentation	SCFA production	gut
K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]		Fermentation	SCFA production	gut
K14085	aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]		Fermentation	SCFA production	gut
K00149	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]		Fermentation	SCFA production	gut
K00129	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]		Fermentation	SCFA production	gut
K01895	acetyl-CoA synthetase [EC:6.2.1.1]		Fermentation	SCFA production	gut
K01913	acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]		Fermentation	SCFA production	gut
K01899	succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]		Fermentation	SCFA production	gut
K01900	succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]		Fermentation	SCFA production	gut
K01902	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]		Fermentation	SCFA production	gut
K01903	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]		Fermentation	SCFA production	gut
K01847	methylmalonyl-CoA mutase [EC:5.4.99.2]		Fermentation	SCFA production	gut
K01849	methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]		Fermentation	SCFA production	gut
K01848	methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]		Fermentation	SCFA production	gut
K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]		Fermentation	SCFA production	gut
K05606	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]		Fermentation	SCFA production	gut
K11264	methylmalonyl-CoA decarboxylase [EC:4.1.1.-]		Fermentation	SCFA production	gut
K03416	methylmalonyl-CoA carboxyltransferase 5S subunit [EC:2.1.3.1]		Fermentation	SCFA production	gut
K18426	ethylmalonyl-CoA/methylmalonyl-CoA decarboxylase [EC:4.1.1.94 4.1.1.-]		Fermentation	SCFA production	gut
K01908	propionyl-CoA synthetase [EC:6.2.1.17]		Fermentation	SCFA production	gut
K01026	propionate CoA-transferase [EC:2.8.3.1]		Fermentation	SCFA production	gut
K20626	lactoyl-CoA dehydratase subunit alpha [EC:4.2.1.54]		Fermentation	SCFA production	gut
K20627	lactoyl-CoA dehydratase subunit beta [EC:4.2.1.54]		Fermentation	SCFA production	gut
K00248	butyryl-CoA dehydrogenase [EC:1.3.8.1]		Fermentation	SCFA production	gut
K00232	acyl-CoA oxidase [EC:1.3.3.6]		Fermentation	SCFA production	gut
K01699	propanediol dehydratase large subunit [EC:4.2.1.28]		Fermentation	SCFA production	gut
K13919	propanediol dehydratase medium subunit [EC:4.2.1.28]		Fermentation	SCFA production	gut
K13920	propanediol dehydratase small subunit [EC:4.2.1.28]		Fermentation	SCFA production	gut
K13922	propionaldehyde dehydrogenase [EC:1.2.1.87]		Fermentation	SCFA production	gut
K01206	alpha-L-fucosidase [EC:3.2.1.51]		Fermentation	SCFA production	gut
K13788	phosphate acetyltransferase [EC:2.3.1.8]		Fermentation	SCFA production	gut
K00625	phosphate acetyltransferase [EC:2.3.1.8]		Fermentation	SCFA production	gut
K15024	putative phosphotransacetylase [EC:2.3.1.8]		Fermentation	SCFA production	gut
K13923	phosphate propanoyltransferase [EC:2.3.1.222]		Fermentation	SCFA production	gut
K00656	formate C-acetyltransferase [EC:2.3.1.54]		Fermentation	SCFA production	gut
K00925	acetate kinase [EC:2.7.2.1]		Fermentation	SCFA production	gut
K00932	propionate kinase [EC:2.7.2.15]		Fermentation	SCFA production	gut
K19697	propionate kinase [EC:2.7.2.15]		Fermentation	SCFA production	gut
K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]		Fermentation	SCFA production	gut
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]		Fermentation	SCFA production	gut
K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]		Fermentation	SCFA production	gut
K07516	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]		Fermentation	SCFA production	gut
K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]		Fermentation	SCFA production	gut
K01782	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]		Fermentation	SCFA production	gut
K07514	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]		Fermentation	SCFA production	gut
K01692	enoyl-CoA hydratase [EC:4.2.1.17]		Fermentation	SCFA production	gut
K07515	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]		Fermentation	SCFA production	gut
K07511	enoyl-CoA hydratase [EC:4.2.1.17]		Fermentation	SCFA production	gut
K01715	short-chain-enoyl-CoA hydratase [EC:4.2.1.150]		Fermentation	SCFA production	gut
K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]		Fermentation	SCFA production	gut
K17829	crotonyl-CoA reductase [EC:1.3.1.86]		Fermentation	SCFA production	gut
K01034	acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]		Fermentation	SCFA production	gut
K01035	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]		Fermentation	SCFA production	gut
K19709	acetate CoA-transferase [EC:2.8.3.8]		Fermentation	SCFA production	gut
K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]		Fermentation	SCFA production	gut
K08324	succinate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.24]		Fermentation	SCFA production	gut
K00139	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]		Fermentation	SCFA production	gut
K17761	succinate-semialdehyde dehydrogenase, mitochondrial [EC:1.2.1.24]		Fermentation	SCFA production	gut
K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]		Fermentation	SCFA production	gut
K08318	4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase [EC:1.1.1.61 1.1.1.373]		Fermentation	SCFA production	gut
K18120	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]		Fermentation	SCFA production	gut
K18121	glyoxylate/succinic semialdehyde reductase [EC:1.1.1.79 1.1.1.-]		Fermentation	SCFA production	gut
K18122	4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]		Fermentation	SCFA production	gut
K14534	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3]		Fermentation	SCFA production	gut
K01580	glutamate decarboxylase [EC:4.1.1.15]		Fermentation	SCFA production	gut
K13524	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]		Fermentation	SCFA production	gut
K07250	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]		Fermentation	SCFA production	gut
K14268	5-aminovalerate/4-aminobutyrate aminotransferase [EC:2.6.1.48 2.6.1.19]		Fermentation	SCFA production	gut
K00823	4-aminobutyrate aminotransferase [EC:2.6.1.19]		Fermentation	SCFA production	gut
K16871	4-aminobutyrate---pyruvate transaminase [EC:2.6.1.96]		Fermentation	SCFA production	gut
K01843	lysine 2,3-aminomutase [EC:5.4.3.2]		Fermentation	SCFA production	gut
K01844	beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]		Fermentation	SCFA production	gut
K18011	beta-lysine 5,6-aminomutase beta subunit [EC:5.4.3.3]		Fermentation	SCFA production	gut
K18012	L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11]	5-diaminohexanoate dehydrogenase [EC:1.4.1.11]	Fermentation	SCFA production	gut
K18013	3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]		Fermentation	SCFA production	gut
K18014	3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14]		Fermentation	SCFA production	gut
K00886	polyphosphate glucokinase [EC:2.7.1.63]		Fermentation	Lactate	gut
K08074	ADP-dependent glucokinase [EC:2.7.1.147]		Fermentation	Lactate	gut
K00918	ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]		Fermentation	Lactate	gut
K12407	glucokinase [EC:2.7.1.2]		Fermentation	Lactate	gut
K00845	glucokinase [EC:2.7.1.2]		Fermentation	Lactate	gut
K25026	glucokinase [EC:2.7.1.2]		Fermentation	Lactate	gut
K01810	glucose-6-phosphate isomerase [EC:5.3.1.9]		Fermentation	Lactate	gut
K06859	glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]		Fermentation	Lactate	gut
K13810	transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]		Fermentation	Lactate	gut
K15916	glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]		Fermentation	Lactate	gut
K24182	6-phosphofructokinase [EC:2.7.1.11]		Fermentation	Lactate	gut
K00850	6-phosphofructokinase 1 [EC:2.7.1.11]		Fermentation	Lactate	gut
K16370	6-phosphofructokinase 2 [EC:2.7.1.11]		Fermentation	Lactate	gut
K21071	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]		Fermentation	Lactate	gut
K00895	diphosphate-dependent phosphofructokinase [EC:2.7.1.90]		Fermentation	Lactate	gut
K01623	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]		Fermentation	Lactate	gut
K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]		Fermentation	Lactate	gut
K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]		Fermentation	Lactate	gut
K11645	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]		Fermentation	Lactate	gut
K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]		Fermentation	Lactate	gut
K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]		Fermentation	Lactate	gut
K00134	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]		Fermentation	Lactate	gut
K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]		Fermentation	Lactate	gut
K00927	phosphoglycerate kinase [EC:2.7.2.3]		Fermentation	Lactate	gut
K01837	bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]		Fermentation	Lactate	gut
K01834	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]		Fermentation	Lactate	gut
K15633	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]		Fermentation	Lactate	gut
K15634	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]		Fermentation	Lactate	gut
K15635	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]		Fermentation	Lactate	gut
K03103	multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]		Fermentation	Lactate	gut
K11389	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]		Fermentation	Lactate	gut
K00131	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]		Fermentation	Lactate	gut
K18978	glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]		Fermentation	Lactate	gut
K01689	enolase 1/2/3 [EC:4.2.1.11]		Fermentation	Lactate	gut
K27394	enolase 4 [EC:4.2.1.11]		Fermentation	Lactate	gut
K00873	pyruvate kinase [EC:2.7.1.40]		Fermentation	Lactate	gut
K12406	pyruvate kinase isozymes R/L [EC:2.7.1.40]		Fermentation	Lactate	gut
K00016	L-lactate dehydrogenase [EC:1.1.1.27]		Fermentation	Lactate	gut
K18124	glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360]		Fermentation	Lactate	gut
K18125	aldose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.359]		Fermentation	Lactate	gut
K00115	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]		Fermentation	Lactate	gut
K19813	glucose dehydrogenase [EC:1.1.5.9]		Fermentation	Lactate	gut
K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]		Fermentation	Lactate	gut
K01053	gluconolactonase [EC:3.1.1.17]		Fermentation	Lactate	gut
K05308	gluconate/galactonate dehydratase [EC:4.2.1.140]		Fermentation	Lactate	gut
K11395	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]		Fermentation	Lactate	gut
K18127	2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51]		Fermentation	Lactate	gut
K00001	alcohol dehydrogenase [EC:1.1.1.1]		Fermentation	Ethanol	gut
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]		Fermentation	Ethanol	gut
K13953	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]		Fermentation	Ethanol	gut
K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]		Fermentation	Ethanol	gut
K01051	pectinesterase [EC:3.1.1.11]		Fermentation	Methanol	gut
K01491	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]		Fermentation	Acetogenesis	gut
K01938	formate--tetrahydrofolate ligase [EC:6.3.4.3]		Fermentation	Acetogenesis	gut
K05299	formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]		Fermentation	Acetogenesis	gut
K15022	formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]		Fermentation	Acetogenesis	gut
K22015	formate dehydrogenase (hydrogenase) / hydrogen-dependent carbon dioxide reductase [EC:1.17.98.4 1.17.98.5]		Fermentation	Acetogenesis	gut
K00198	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]		Fermentation	Acetogenesis	gut
K07321	CO dehydrogenase maturation factor		Fermentation	Acetogenesis	gut
K14138	acetyl-CoA synthase [EC:2.3.1.169]		Fermentation	Acetogenesis	gut
K00197	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]		Fermentation	Acetogenesis	gut
K00194	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]		Fermentation	Acetogenesis	gut
K15023	5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]		Fermentation	Acetogenesis	gut
McrA			Fermentation	Methanogenesis 	gut
K00399	methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]		Fermentation	Methanogenesis 	gut
K00400	methyl coenzyme M reductase system, component A2		Fermentation	Methanogenesis 	gut
K00401	methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]		Fermentation	Methanogenesis 	gut
K00402	methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]		Fermentation	Methanogenesis 	gut
K03421	methyl-coenzyme M reductase subunit C		Fermentation	Methanogenesis 	gut
K03422	methyl-coenzyme M reductase subunit D		Fermentation	Methanogenesis 	gut
NiFe_group1			Fermentation	Hydrogen metabolism 	gut
NiFe_group2			Fermentation	Hydrogen metabolism 	gut
NiFe_group3			Fermentation	Hydrogen metabolism 	gut
NiFe_group4			Fermentation	Hydrogen metabolism 	gut
FeFe_GroupA			Fermentation	Hydrogen metabolism 	gut
FeFe_GroupB			Fermentation	Hydrogen metabolism 	gut
FeFe_GroupC			Fermentation	Hydrogen metabolism 	gut
FeFe_GroupE			Fermentation	Hydrogen metabolism 	gut
FeFe_GroupF			Fermentation	Hydrogen metabolism 	gut
K01610	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]		Fermentation	Succinate	gut
K01958	pyruvate carboxylase [EC:6.4.1.1]		Fermentation	Succinate	gut
K01959	pyruvate carboxylase subunit A [EC:6.4.1.1]		Fermentation	Succinate	gut
K00024	malate dehydrogenase [EC:1.1.1.37]		Fermentation	Succinate	gut
K01676	fumarate hydratase, class I [EC:4.2.1.2]		Fermentation	Succinate	gut
K01677	fumarate hydratase subunit alpha [EC:4.2.1.2]		Fermentation	Succinate	gut
K01678	fumarate hydratase subunit beta [EC:4.2.1.2]		Fermentation	Succinate	gut
K00244	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]		Fermentation	Succinate	gut
K00245	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]		Fermentation	Succinate	gut
K00246	succinate dehydrogenase subunit C		Fermentation	Succinate	gut
K00247	succinate dehydrogenase subunit D		Fermentation	Succinate	gut
K02275	cytochrome c oxidase subunit II [EC:7.1.1.9]		Redox	Oxygen	gut
K02274	cytochrome c oxidase subunit I [EC:7.1.1.9]		Redox	Oxygen	gut
K02276	cytochrome c oxidase subunit III [EC:7.1.1.9]		Redox	Oxygen	gut
K15408	cytochrome c oxidase subunit I+III [EC:7.1.1.9]		Redox	Oxygen	gut
K02277	cytochrome c oxidase subunit IV [EC:7.1.1.9]		Redox	Oxygen	gut
K02827	cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]		Redox	Oxygen	gut
K02826	cytochrome aa3-600 menaquinol oxidase subunit II [EC:7.1.1.5]		Redox	Oxygen	gut
K02828	cytochrome aa3-600 menaquinol oxidase subunit III [EC:7.1.1.5]		Redox	Oxygen	gut
K02829	cytochrome aa3-600 menaquinol oxidase subunit IV [EC:7.1.1.5]		Redox	Oxygen	gut
K02297	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]		Redox	Oxygen	gut
K02298	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]		Redox	Oxygen	gut
K02299	cytochrome o ubiquinol oxidase subunit III		Redox	Oxygen	gut
K02300	cytochrome o ubiquinol oxidase subunit IV		Redox	Oxygen	gut
K00330	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]		Redox	Oxygen	gut
K00331	NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]		Redox	Oxygen	gut
K00332	NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]		Redox	Oxygen	gut
K00333	NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]		Redox	Oxygen	gut
K13378	NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]		Redox	Oxygen	gut
K13380	NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2]		Redox	Oxygen	gut
K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]		Redox	Oxygen	gut
K00335	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]		Redox	Oxygen	gut
K00336	NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]		Redox	Oxygen	gut
K00337	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]		Redox	Oxygen	gut
K00338	NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]		Redox	Oxygen	gut
K00339	NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]		Redox	Oxygen	gut
K00340	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]		Redox	Oxygen	gut
K00341	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]		Redox	Oxygen	gut
K00342	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]		Redox	Oxygen	gut
K15863	NADH-quinone oxidoreductase subunit L/M [EC:7.1.1.2]		Redox	Oxygen	gut
K00343	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]		Redox	Oxygen	gut
K05574	NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2]		Redox	Oxygen	gut
K05582	NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2]		Redox	Oxygen	gut
K05581	NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2]		Redox	Oxygen	gut
K05579	NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2]		Redox	Oxygen	gut
K05572	NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2]		Redox	Oxygen	gut
K05580	NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]		Redox	Oxygen	gut
K05578	NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2]		Redox	Oxygen	gut
K05576	NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2]		Redox	Oxygen	gut
K05577	NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2]		Redox	Oxygen	gut
K05575	NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]		Redox	Oxygen	gut
K05573	NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]		Redox	Oxygen	gut
K05583	NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]		Redox	Oxygen	gut
K05584	NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]		Redox	Oxygen	gut
K05585	NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]		Redox	Oxygen	gut
K03945	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1		Redox	Oxygen	gut
K03946	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2		Redox	Oxygen	gut
K03947	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3		Redox	Oxygen	gut
K03948	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4		Redox	Oxygen	gut
K03949	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5		Redox	Oxygen	gut
K03950	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6		Redox	Oxygen	gut
K03951	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7		Redox	Oxygen	gut
K03952	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8		Redox	Oxygen	gut
K03953	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9		Redox	Oxygen	gut
K03954	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10		Redox	Oxygen	gut
K03955	NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein		Redox	Oxygen	gut
K03956	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11		Redox	Oxygen	gut
K11352	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12		Redox	Oxygen	gut
K11353	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13		Redox	Oxygen	gut
K00425	cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]		Redox	Oxygen	gut
K00426	cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]		Redox	Oxygen	gut
K00424	cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]		Redox	Oxygen	gut
K22501	cytochrome bd-II ubiquinol oxidase subunit AppX [EC:7.1.1.7]		Redox	Oxygen	gut
K00404	cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]		Redox	Oxygen	gut
K00405	cytochrome c oxidase cbb3-type subunit II		Redox	Oxygen	gut
K15862	cytochrome c oxidase cbb3-type subunit I/II [EC:7.1.1.9]		Redox	Oxygen	gut
K00407	cytochrome c oxidase cbb3-type subunit IV		Redox	Oxygen	gut
